STOPPOINTREF,VEHICLEREF,PROGRESSRATE,EXPECTEDDEPARTURETIME,EXPECTEDARRIVALTIME,ORIGINAIMEDDEPARTURETIME,AIMEDARRIVALTIME,RECORDEDATTIME,STOPPOINT,VISITNUMBER,DATAFRAMEREF,STOPPOINTNAME,JOURNEYPATTERNREF,DATEDVEHICLEJOURNEYREF,SITUATIONSIMPLEREF1,SITUATIONSIMPLEREF2,SITUATIONSIMPLEREF3,SITUATIONSIMPLEREF4,SITUATIONSIMPLEREF5,BEARING,OPERATORREF,DESTINATIONNAME,BLOCKREF,LINEREF,DIRECTIONREF,PUBLISHEDLINENAME,DESTINATIONREF,ORIGINREF,VEHICLELOCATIONLONGITUDE,VEHICLELOCATIONLATITUDE,ARRIVALPROXIMITYTEXT,DISTANCEFROMSTOP,NUMBEROFSTOPSAWAY,PROGRESSSTATUS,MONITORED,ESTIMATEDPASSENGERCAPACITY,ESTIMATEDPASSENGERCOUNT,DATE,TS,UUID,INGESTION_TIME,SOURCE_SYSTEM,PROCESSING_STATUS
MTA_404081,MTA NYCT_9782,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:16:18.553-04:00,2025-08-07T18:15:08.788-04:00,,1,2025-08-07,5 AV/E 98 ST,MTA_M030111,MTA NYCT_MV_C5-Weekday-SDon-102600_M3_334,,,,,,233.790542603,MTA NYCT,EAST VILLAGE 8 ST via 5 AV,MTA NYCT_MV_C5-Weekday-SDon_E_MV_24540_M3-316,MTA NYCT_M3,1,M3,MTA_400001,MTA_400448,-73.954627991,40.789459229,approaching,37,0,,true,80,13,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.505,e2ac9255-abb2-4830-bba8-0c36cc2fd265,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_300631,MTA NYCT_4881,normalProgress,2025-08-07T18:16:25.880-04:00,2025-08-07T18:16:25.880-04:00,,2025-08-07T18:04:22.399-04:00,2025-08-07T18:15:16.000-04:00,,1,2025-08-07,GLENWOOD RD/E 39 ST,MTA_B60069,MTA NYCT_UP_C5-Weekday-SDon-106000_B6_270,MTA NYCT_lmm:planned_work:23571,,,,,183.001525879,MTA NYCT,BENSONHURST - 25 AV - CROPSEY AV,MTA NYCT_UP_C5-Weekday-SDon_E_UP_51960_B6-270,MTA NYCT_B6,1,B6,MTA_901691,MTA_901022,-73.937614441,40.634605408,< 1 stop away,163,0,,true,80,18,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.591,9ff5210d-dc63-4f9f-a671-907f92035da1,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_300564,MTA NYCT_4880,normalProgress,2025-08-07T18:15:55.821-04:00,2025-08-07T18:15:55.821-04:00,,2025-08-07T18:23:49.394-04:00,2025-08-07T18:15:15.000-04:00,,1,2025-08-07,FLATLANDS AV/E 82 ST,MTA_B60047,MTA NYCT_UP_C5-Weekday-SDon-103700_B6_252,MTA NYCT_lmm:planned_work:23571,,,,,30.596010208,MTA NYCT,ROCKAWAY PKY STA,MTA NYCT_UP_C5-Weekday-SDon_E_UP_50340_B6-252,MTA NYCT_B6,0,B6,MTA_901012,MTA_300505,-73.912834167,40.635795593,approaching,100,0,,true,80,7,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.590,178ccd9a-f39b-4658-b031-e47910d5a7d3,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_500018,MTA NYCT_8409,normalProgress,2025-08-07T18:17:36.511-04:00,2025-08-07T18:17:36.511-04:00,,2025-08-07T18:22:00.388-04:00,2025-08-07T18:15:06.000-04:00,,1,2025-08-07,HILLSIDE AV/FRANCIS LEWIS BLVD,MTA_Q820026,MTA NYCT_QV_C5-Weekday-SDon-108300_MISC_309,,,,,,18.434947968,MTA NYCT,RUSH BELMONT PARK,MTA NYCT_QV_C5-Weekday-SDon_E_QV_56400_MISC-309,MTA NYCT_Q82,0,Q82,MTA_904250,MTA_700816,-73.768562317,40.716850281,0.6 miles away,887,0,,true,80,55,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.590,86543064-c895-46a6-9ab6-cecfeafee718,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_405506,MTA NYCT_9737,noProgress,,,2025-08-07T18:20:00.000-04:00,2025-08-07T18:20:00.383-04:00,2025-08-07T18:15:23.575-04:00,,1,2025-08-07,W 44 ST/6 AV,MTA_M550566,MTA NYCT_MQ_C5-Weekday-SDon-110000_M55_413,MTA NYCT_lmm:planned_work:23566,,,,,337.250671387,MTA NYCT,SOUTH FERRY,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_28200_M55-406,MTA NYCT_M55,1,M55,MTA_405068,MTA_405506,-73.982795715,40.755981445,at stop,0,0,layover,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,83fbc09e-4e04-44f0-ba71-21a59e4f0d68,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_803058,MTA NYCT_9743,noProgress,2025-08-07T18:15:35.575-04:00,2025-08-07T18:15:35.575-04:00,2025-08-07T18:19:00.000-04:00,2025-08-07T18:13:00.362-04:00,2025-08-07T18:15:31.714-04:00,,1,2025-08-07,E 72 ST/YORK AV,MTA_M720013,MTA NYCT_MQ_C5-Weekday-SDon-106200_M72_617,,,,,,337.651885986,MTA NYCT,EAST SIDE YORK AV CROSSTOWN,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_26460_M72-607,MTA NYCT_M72,0,M72,MTA_803058,MTA_405308,-73.954231262,40.767066956,at stop,12,0,layover,true,80,10,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,7e9d3d6a-374a-4dc3-b088-241cfdc769b5,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_405376,MTA NYCT_9744,noProgress,2025-08-07T18:15:35.553-04:00,2025-08-07T18:15:35.553-04:00,2025-08-07T18:15:00.000-04:00,2025-08-07T18:06:00.351-04:00,2025-08-07T18:15:26.622-04:00,,1,2025-08-07,BROADWAY/W 57 ST,MTA_M100013,MTA NYCT_MV_C5-Weekday-SDon-102500_M10_17,,,,,,263.290161133,MTA NYCT,57 ST-BROADWAY via CENTRAL PK W.,MTA NYCT_MV_C5-Weekday-SDon_E_MV_52200_M10-17,MTA NYCT_M10,1,M10,MTA_405376,MTA_404135,-73.981765747,40.76669693,at stop,19,0,layover,true,80,1,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,5bf89a01-adda-4048-ad1d-d04e502a0b09,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_401381,MTA NYCT_9750,normalProgress,2025-08-07T18:15:59.866-04:00,2025-08-07T18:15:59.866-04:00,,2025-08-07T18:04:35.256-04:00,2025-08-07T18:15:13.986-04:00,,1,2025-08-07,WEST BROADWAY/DUANE ST,MTA_M200502,MTA NYCT_MQ_C5-Weekday-SDon-103000_M20_160,MTA NYCT_lmm:planned_work:23566,,,,,231.469818115,MTA NYCT,SOUTH FERRY via 7 AV via BAT PK CITY,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_21600_M20-151,MTA NYCT_M20,1,M20,MTA_405068,MTA_404138,-74.007728577,40.717399597,approaching,138,0,,true,80,8,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.587,afe97501-abd4-427c-b35a-29611c9ce3a1,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_501936,MTA NYCT_8422,normalProgress,2025-08-07T18:15:48.177-04:00,2025-08-07T18:15:48.177-04:00,,2025-08-07T18:16:00.243-04:00,2025-08-07T18:15:30.000-04:00,,1,2025-08-07,JAMAICA AV/220 ST,MTA_Q360169,MTA NYCT_QV_C5-Weekday-SDon-106500_MISC_258,,,,,,25.559965134,MTA NYCT,RUSH LITTLE NECK LIRR STATION,MTA NYCT_QV_C5-Weekday-SDon_E_QV_62160_MISC-258,MTA NYCT_Q36,0,Q36,MTA_503214,MTA_700816,-73.734924316,40.718681335,approaching,74,0,,true,80,14,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.586,6ae53834-da98-4370-b4e6-67096ee639d6,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_101318,MTA NYCT_5361,normalProgress,2025-08-07T18:15:44.694-04:00,2025-08-07T18:15:44.694-04:00,,2025-08-07T18:16:45.193-04:00,2025-08-07T18:15:10.000-04:00,,1,2025-08-07,SOUTHERN BLVD/E 149 ST,MTA_BX191712,MTA NYCT_WF_C5-Weekday-SDon-105400_BX19_342,,,,,,329.743560791,MTA NYCT,BRONX PARK via 149 ST via SOUTHERN,MTA NYCT_WF_C5-Weekday-SDon_E_WF_57060_BX19-342,MTA NYCT_BX19,0,Bx19,MTA_902030,MTA_803195,-73.904243469,40.812156677,approaching,54,0,,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.585,eebb3636-672e-4b70-8219-f16e849cce6c,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_101964,MTA NYCT_9725,normalProgress,2025-08-07T18:16:22.357-04:00,2025-08-07T18:16:22.357-04:00,,2025-08-07T18:20:00.175-04:00,2025-08-07T18:15:07.000-04:00,,1,2025-08-07,BOSTON RD/EAST GUN HILL RD,MTA_BX300622,MTA NYCT_GH_C5-Weekday-SDon-108600_BX30_562,,,,,,44.110778809,MTA NYCT,CO-OP CITY EARHART LA via BOSTON RD,MTA NYCT_GH_C5-Weekday-SDon_E_GH_52380_BX30-562,MTA NYCT_BX30,0,Bx30,MTA_101732,MTA_150022,-73.855255127,40.872039795,< 1 stop away,257,0,,true,80,9,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.584,fffffe78-5d33-42a8-95c2-d6201d6a8df5,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_400903,MTA NYCT_9728,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:15:36.165-04:00,2025-08-07T18:15:18.432-04:00,,1,2025-08-07,STATE ST/BRIDGE ST,MTA_M550567,MTA NYCT_MQ_C5-Weekday-SDon-109400_M55_412,MTA NYCT_lmm:planned_work:23566,,,,,79.767662048,MTA NYCT,44 ST 6 AV,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_16800_M55-401,MTA NYCT_M55,0,M55,MTA_803081,MTA_405067,-74.014289856,40.704147339,at stop,7,0,,true,80,54,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.584,d4eb5eaf-785b-4449-97d0-9a28efb73f5f,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_903063,MTA NYCT_9733,noProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:00.000-04:00,2025-08-07T18:01:00.153-04:00,2025-08-07T18:15:07.050-04:00,,1,2025-08-07,8 AV/W 12 ST,MTA_M120077,MTA NYCT_MQ_C5-Weekday-SDon-105000_M12_105,,,,,,40.112991333,MTA NYCT,WEST VILLAGE ABINGDON SQ,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_24600_M12-103,MTA NYCT_M12,1,M12,MTA_903063,MTA_803243,-74.004570007,40.737766266,at stop,3,0,layover,true,80,56,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.583,6e191b1e-1d8c-409a-96d0-3ba31967a674,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_500271,MTA NYCT_8492,normalProgress,2025-08-07T18:15:55.466-04:00,2025-08-07T18:15:55.466-04:00,,2025-08-07T18:18:18.872-04:00,2025-08-07T18:15:23.000-04:00,,1,2025-08-07,MURDOCK AV/194 ST,MTA_Q830072,MTA NYCT_QV_C5-Weekday-SDon-106800_MISC_276,,,,,,14.633831024,MTA NYCT,CAMBRIA HEIGHTS 227 ST,MTA NYCT_QV_C5-Weekday-SDon_E_QV_50100_MISC-276,MTA NYCT_Q83,0,Q83,MTA_904104,MTA_503169,-73.761146545,40.698310852,approaching,95,0,,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.516,66c509d3-6da4-474c-be77-d0b5d7bb516d,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_501468,MTA NYCT_8483,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:10:33.701-04:00,2025-08-07T18:15:26.000-04:00,,1,2025-08-07,HORACE HARDING EXPWY/254 ST,MTA_Q300116,MTA NYCT_JA_C5-Weekday-SDon-104300_Q30_404,,,,,,20.217721939,MTA NYCT,RUSH LITTLE NECK LITTLE NECK PKWY,MTA NYCT_JA_C5-Weekday-SDon_E_JA_53880_Q30-404,MTA NYCT_Q30,0,Q30,MTA_501470,MTA_504480,-73.726371765,40.763286591,at stop,6,0,,true,80,5,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.512,ef18bea5-ed9e-4dc6-a314-61078b652e9f,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_300434,MTA NYCT_7118,normalProgress,2025-08-07T18:16:01.725-04:00,2025-08-07T18:16:01.725-04:00,,2025-08-07T18:10:10.683-04:00,2025-08-07T18:15:30.000-04:00,,1,2025-08-07,KINGS HWY/W 11 ST,MTA_B820075,MTA NYCT_EN_C5-Weekday-SDon-106600_B82_626,MTA NYCT_lmm:planned_work:25937,,,,,351.784393311,MTA NYCT,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,MTA NYCT_EN_C5-Weekday-SDon_E_EN_18000_B82-609,MTA NYCT_B82,0,B82,MTA_901080,MTA_308478,-73.985366821,40.605773926,approaching,89,0,,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.511,f10c4157-875c-4d26-9045-9ca584888919,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_301406,MTA NYCT_7126,normalProgress,2025-08-07T18:15:57.797-04:00,2025-08-07T18:15:57.797-04:00,,2025-08-07T18:12:00.675-04:00,2025-08-07T18:15:18.000-04:00,,1,2025-08-07,ALBANY AV/WINTHROP ST,MTA_B120028,MTA NYCT_EN_C5-Weekday-SDon-105800_B12_29,,,,,,259.919403076,MTA NYCT,LEFFERTS GARDENS OCEAN AV,MTA NYCT_EN_C5-Weekday-SDon_E_EN_19980_B12-13,MTA NYCT_B12,1,B12,MTA_901089,MTA_801177,-73.939559937,40.658084869,approaching,113,0,,true,80,13,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.511,eb1af87d-764a-4284-bf00-d3921a7366bd,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_400454,MTA NYCT_9787,normalProgress,2025-08-07T18:15:48.938-04:00,2025-08-07T18:15:48.938-04:00,,2025-08-07T18:16:47.670-04:00,2025-08-07T18:15:32.638-04:00,,1,2025-08-07,SAINT NICHOLAS AV/W 178 ST,MTA_M030111,MTA NYCT_MV_C5-Weekday-SDon-108600_M3_338,,,,,,238.392501831,MTA NYCT,EAST VILLAGE 8 ST via 5 AV,MTA NYCT_MV_C5-Weekday-SDon_E_MV_44580_M3-337,MTA NYCT_M3,1,M3,MTA_400001,MTA_400448,-73.934959412,40.847644806,at stop,24,0,,true,80,11,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.511,67a1a8e2-ef7d-408d-9853-18b777836b4e,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_500464,MTA NYCT_8456,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:20:53.663-04:00,2025-08-07T18:15:05.000-04:00,,1,2025-08-07,120 AV/196 ST,MTA_Q840061,MTA NYCT_JA_C5-Weekday-SDon-107400_MISC_907,,,,,,19.983106613,MTA NYCT,RUSH LAURELTON 238 ST,MTA NYCT_JA_C5-Weekday-SDon_E_JA_57840_MISC-907,MTA NYCT_Q84,1,Q84,MTA_904234,MTA_701021,-73.75390625,40.689090729,at stop,15,0,,true,80,11,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.510,88afd3ba-f15b-427e-9b7c-6343b79e7c26,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_400121,MTA NYCT_9788,normalProgress,2025-08-07T18:15:52.580-04:00,2025-08-07T18:15:52.580-04:00,,2025-08-07T18:14:40.658-04:00,2025-08-07T18:15:10.000-04:00,,1,2025-08-07,5 AV/E 79 ST,MTA_M040176,MTA NYCT_MV_C5-Weekday-SDon-101400_M4_437,,,,,,234.246109009,MTA NYCT,MIDTOWN  32 ST & 5 AV via BWAY 5 AV,MTA NYCT_MV_C5-Weekday-SDon_E_MV_26400_M4-428,MTA NYCT_M4,1,M4,MTA_405548,MTA_400639,-73.963531494,40.777252197,approaching,69,0,,true,80,1,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.508,7cba3b78-0c6a-496b-89ae-04ebd4da515a,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_301326,MTA NYCT_7128,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:17:08.650-04:00,2025-08-07T18:15:27.644-04:00,,1,2025-08-07,LEFFERTS AV/SCHENECTADY AV,MTA_B120019,MTA NYCT_EN_C5-Weekday-SDon-107300_B12_27,,,,,,3.717711687,MTA NYCT,EAST NEW YORK ALABAMA AV,MTA NYCT_EN_C5-Weekday-SDon_E_EN_18180_B12-11,MTA NYCT_B12,0,B12,MTA_801161,MTA_301309,-73.934997559,40.663322449,at stop,24,0,,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.508,ae7bb581-614b-4a0b-8138-0b7fb7e3b5e4,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_100946,MTA NYCT_9783,normalProgress,2025-08-07T18:15:49.297-04:00,2025-08-07T18:15:49.297-04:00,,2025-08-07T18:10:28.620-04:00,2025-08-07T18:15:16.586-04:00,,1,2025-08-07,WESTCHESTER AV/MIDDLETOWN RD,MTA_BX240008,MTA NYCT_GH_C5-Weekday-SDon-107600_BX5_113,,,,,,33.530467987,MTA NYCT,COUNTRY CLUB via PELHAM BAY,MTA NYCT_GH_C5-Weekday-SDon_E_GH_42180_BX24-203,MTA NYCT_BX24,0,Bx24,MTA_802118,MTA_104536,-73.837013245,40.843360901,approaching,70,0,,true,80,6,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.507,ed6e85ad-fc5c-45d6-a7ff-f0798b3575df,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_301119,MTA NYCT_7121,normalProgress,2025-08-07T18:15:37.994-04:00,2025-08-07T18:15:37.994-04:00,,2025-08-07T18:22:41.607-04:00,2025-08-07T18:15:11.000-04:00,,1,2025-08-07,SAINT JOHNS PL/BUFFALO AV,MTA_B150038,MTA NYCT_EN_C5-Weekday-SDon-107000_B15_158,,,,,,263.589172363,MTA NYCT,JFK AIRPORT,MTA NYCT_EN_C5-Weekday-SDon_E_EN_35040_B15-127,MTA NYCT_B15,0,B15,MTA_904253,MTA_307393,-73.92540741,40.670490265,approaching,59,0,,true,80,18,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.506,aed71fe8-3a8b-4078-ada0-3fc062512096,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_802151,MTA NYCT_9780,noProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,2025-08-07T18:26:00.000-04:00,2025-08-07T17:53:00.573-04:00,2025-08-07T18:15:20.794-04:00,,1,2025-08-07,MARCONI ST /911 CALL  CENTER,MTA_BX240094,MTA NYCT_GH_C5-Weekday-SDon-105000_BX12_175,,,,,,49.107437134,MTA NYCT,HUTCHINSON METRO CENTER,MTA NYCT_GH_C5-Weekday-SDon_E_GH_15900_BX5-101,MTA NYCT_BX24,1,Bx24,MTA_802151,MTA_100967,-73.83795166,40.854740143,approaching,38,0,layover,true,80,1,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.506,25ac6cd5-c46b-46b4-97e5-dfffa93e094b,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_501531,MTA NYCT_8074,normalProgress,2025-08-07T18:12:56.661-04:00,2025-08-07T18:12:56.661-04:00,,2025-08-07T18:09:24.538-04:00,2025-08-07T18:11:32.000-04:00,,1,2025-08-07,PARSONS BLVD/ELM AV,MTA_Q270256,MTA NYCT_QV_C5-Weekday-SDon-107900_MISC_190,,,,,,326.523712158,MTA NYCT,RUSH CAMBRIA HEIGHTS 120 AV,MTA NYCT_QV_C5-Weekday-SDon_E_QV_59580_MISC-190,MTA NYCT_Q27,1,Q27,MTA_505353,MTA_502256,-73.81867218,40.757579803,< 1 stop away,268,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:26.702,e6ac4ef0-1b5e-4095-a9ca-cebcbe06397e,2025-08-07 22:46:28.660,MTA_REALTIME,PROCESSED
MTA_552440,MTABC_5432,normalProgress,2025-08-07T18:11:52.853-04:00,2025-08-07T18:11:52.853-04:00,,2025-08-07T18:06:49.648-04:00,2025-08-07T18:11:40.000-04:00,,1,2025-08-07,CORNAGA AV /ROSE ST,MTA_Q1140176,MTABC_43116756-BPPC5-BP_C5-Weekday-03,,,,,,90,MTABC,RUSH JAMAICA  PARSONS-HILLSIDE via BREWER BL,MTABC_BPPC5-BP_C5-Weekday-03_7883020,MTABC_Q114,0,Q114,MTA_982492,MTA_550818,-73.745727539,40.603420258,approaching,56,0,,true,100,20,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.313,207bbc86-a1f0-4300-bdae-83cdf4cd2e8e,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_552466,MTABC_5431,normalProgress,2025-08-07T18:12:03.038-04:00,2025-08-07T18:12:03.038-04:00,,2025-08-07T18:06:03.636-04:00,2025-08-07T18:11:28.000-04:00,,1,2025-08-07,MOTT AV /ROCKAWAY TPKE,MTA_Q1140176,MTABC_43116755-BPPC5-BP_C5-Weekday-03,,,,,,17.217069626,MTABC,RUSH JAMAICA  PARSONS-HILLSIDE via BREWER BL,MTABC_BPPC5-BP_C5-Weekday-03_7882997,MTABC_Q114,0,Q114,MTA_982492,MTA_550818,-73.734451294,40.618904114,< 1 stop away,186,0,,true,100,52,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.313,cfb4e706-41d6-46d8-8e50-4e2599f15a8f,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_553233,MTABC_5437,normalProgress,2025-08-07T18:17:49.644-04:00,2025-08-07T18:17:49.644-04:00,,2025-08-07T18:10:03.629-04:00,2025-08-07T18:11:17.000-04:00,,1,2025-08-07,GUY R BREWER BLVD/147 AV,MTA_Q1130135,MTABC_43116633-BPPC5-BP_C5-Weekday-03,,,,,,134.280838013,MTABC,LIMITED JAMAICA PARSONS-HILLSIDE via NASSAU EXY via BREWER BL,MTABC_BPPC5-BP_C5-Weekday-03_7883000,MTABC_Q113,0,Q113,MTA_982492,MTA_550818,-73.742523193,40.639896393,2.0 miles away,3236,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.312,4e8ceec3-6a5f-4593-afc9-8ee8fbb619db,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_552342,MTABC_5435,normalProgress,2025-08-07T18:14:14.817-04:00,2025-08-07T18:14:14.817-04:00,,2025-08-07T18:11:00.621-04:00,2025-08-07T18:11:23.000-04:00,,1,2025-08-07,GUY R BREWER BLVD/SAYRES AV,MTA_Q1130135,MTABC_43116632-BPPC5-BP_C5-Weekday-03,,,,,,120.109313965,MTABC,LIMITED JAMAICA PARSONS-HILLSIDE via NASSAU EXY via BREWER BL,MTABC_BPPC5-BP_C5-Weekday-03_7883001,MTABC_Q113,0,Q113,MTA_982492,MTA_550818,-73.783187866,40.684608459,< 1 stop away,593,0,,true,100,18,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.312,89a5a7ec-5792-4a31-b619-67294af3c78d,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_500249,MTABC_5401,noProgress,,,2025-08-07T18:43:00.000-04:00,2025-08-07T17:58:00.610-04:00,2025-08-07T18:11:35.000-04:00,,1,2025-08-07,HILLSIDE AV/PARSONS BLVD,MTA_Q1150022,MTABC_43116220-BPPC5-BP_C5-Weekday-03,,,,,,18.004161835,MTABC,JAMAICA  PARSONS-HILLSIDE via BREWER BL,MTABC_BPPC5-BP_C5-Weekday-03_7882926,MTABC_Q115,0,Q115,MTA_500249,MTA_503779,-73.803337097,40.707527161,at stop,0,0,layover,true,100,4,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.312,75b19601-4201-4b44-8355-a6f6b93a9cc7,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_552409,MTABC_5406,normalProgress,2025-08-07T18:12:02.634-04:00,2025-08-07T18:12:02.634-04:00,,2025-08-07T18:12:00.585-04:00,2025-08-07T18:11:25.000-04:00,,1,2025-08-07,ARCHER AV/160 ST,MTA_Q1130130,MTABC_43116588-BPPC5-BP_C5-Weekday-03,,,,,,286.393920898,MTABC,LIMITED FAR ROCKAWAY SEAGIRT BL via BREWER BL/NASSAU EXPWY,MTABC_BPPC5-BP_C5-Weekday-03_7882905,MTABC_Q113,1,Q113,MTA_552502,MTA_552365,-73.799926758,40.702495575,approaching,124,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.311,8dd1720c-85f5-47ed-a6fc-6c4facd230e9,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_551045,MTABC_192,normalProgress,2025-08-07T18:12:33.504-04:00,2025-08-07T18:12:33.504-04:00,,2025-08-07T18:12:56.566-04:00,2025-08-07T18:11:55.000-04:00,,1,2025-08-07,7 AV/COLLEGE POINT BLVD,MTA_Q250241,MTABC_43120167-CPPC5-CP_C5-Weekday-03,,,,,,358.863708496,MTABC,JAMAICA LIRR,,MTABC_Q25,1,Q25,MTA_982095,MTA_553292,-73.845588684,40.789466858,< 1 stop away,174,0,,true,80,16,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.311,47c9d075-7ae3-4a7e-9d2b-2128d453db61,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
MTA_550988,MTABC_196,normalProgress,2025-08-07T18:13:05.393-04:00,2025-08-07T18:13:05.393-04:00,,2025-08-07T18:11:31.547-04:00,2025-08-07T18:11:23.000-04:00,,1,2025-08-07,PARSONS BLVD/UNION TPKE,MTA_Q250253,MTABC_43120628-CPPC5-CP_C5-Weekday-03,,,,,,107.611343384,MTABC,COLLEGE POINT 5 AV,MTABC_CPPC5-CP_C5-Weekday-03_7883701,MTABC_Q25,0,Q25,MTA_982094,MTA_553139,-73.808486938,40.718055725,< 1 stop away,243,0,,true,80,17,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:28.311,c090aba8-e6d8-44c2-8a88-869a964aeefb,2025-08-07 22:46:28.669,MTA_REALTIME,PROCESSED
