STOPPOINTREF,VEHICLEREF,PROGRESSRATE,EXPECTEDDEPARTURETIME,EXPECTEDARRIVALTIME,ORIGINAIMEDDEPARTURETIME,AIMEDARRIVALTIME,RECORDEDATTIME,STOPPOINT,VISITNUMBER,DATAFRAMEREF,STOPPOINTNAME,JOURNEYPATTERNREF,DATEDVEHICLEJOURNEYREF,SITUATIONSIMPLEREF1,SITUATIONSIMPLEREF2,SITUATIONSIMPLEREF3,SITUATIONSIMPLEREF4,SITUATIONSIMPLEREF5,BEARING,OPERATORREF,DESTINATIONNAME,BLOCKREF,LINEREF,DIRECTIONREF,PUBLISHEDLINENAME,DESTINATIONREF,ORIGINREF,VEHICLELOCATIONLONGITUDE,VEHICLELOCATIONLATITUDE,ARRIVALPROXIMITYTEXT,DISTANCEFROMSTOP,NUMBEROFSTOPSAWAY,PROGRESSSTATUS,MONITORED,ESTIMATEDPASSENGERCAPACITY,ESTIMATEDPASSENGERCOUNT,DATE,TS,UUID,INGESTION_TIME,SOURCE_SYSTEM,PROCESSING_STATUS
MTA_504322,MTA NYCT_7421,normalProgress,2025-08-07T18:12:48.791-04:00,2025-08-07T18:12:48.791-04:00,,2025-08-07T17:39:11.929-04:00,2025-08-07T18:11:44.000-04:00,,1,2025-08-07,METROPOLITAN AV/MOUNT OLIVET CRES,MTA_Q380005,MTA NYCT_CS_C5-Weekday-SDon-103600_MISC_724,MTA NYCT_lmm:planned_work:25730,,,,,178.327606201,MTA NYCT,MASPETH,MTA NYCT_CS_C5-Weekday-SDon_E_CS_56940_MISC-724,MTA NYCT_Q38,1,Q38,MTA_700712,MTA_551247,-73.891700745,40.712360382,< 1 stop away,276,0,,true,80,2,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.083,af545cf4-e19c-4385-a6b2-6e694e6abf4a,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_308886,MTA NYCT_4394,normalProgress,2025-08-07T18:11:59.574-04:00,2025-08-07T18:11:59.574-04:00,,2025-08-07T17:27:50.922-04:00,2025-08-07T18:11:42.000-04:00,,1,2025-08-07,VAN SICLEN AV/LINDEN BL,MTA_B830024,MTA NYCT_EN_C5-Weekday-SDon-102200_B83_310,,,,,,307.874969482,MTA NYCT,SPRING CREEK GATEWAY MALL,MTA NYCT_EN_C5-Weekday-SDon_E_EN_47940_B83-310,MTA NYCT_B83,1,B83,MTA_901475,MTA_307897,-73.885818481,40.660709381,approaching,48,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.082,cf70ca42-5f30-415d-acfa-19096dfcaeb4,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_306273,MTA NYCT_458,normalProgress,2025-08-07T18:12:36.342-04:00,2025-08-07T18:12:36.342-04:00,,2025-08-07T18:10:28.848-04:00,2025-08-07T18:11:44.000-04:00,,1,2025-08-07,FLATBUSH AV/E 46 ST,MTA_B90063,MTA NYCT_JG_C5-Weekday-SDon-108500_B9_226,,,,,,138.397476196,MTA NYCT,BAY RIDGE SHRE RD via AVENUE M via 60 ST,MTA NYCT_JG_C5-Weekday-SDon_E_JG_18660_B9-204,MTA NYCT_B9,1,B9,MTA_901297,MTA_300969,-73.929168701,40.615619659,< 1 stop away,182,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.009,35eef26f-f512-46ca-8493-a13f5dc49b74,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_303783,MTA NYCT_459,normalProgress,2025-08-07T18:12:27.357-04:00,2025-08-07T18:12:27.357-04:00,,2025-08-07T18:01:23.841-04:00,2025-08-07T18:11:40.000-04:00,,1,2025-08-07,BROOKLYN AV/UNION ST,MTA_B430009,MTA NYCT_JG_C5-Weekday-SDon-101800_B43_471,,,,,,264.559661865,MTA NYCT,LEFFERTS GARDENS PROSPECT PK STA,MTA NYCT_JG_C5-Weekday-SDon_E_JG_54120_B43-471,MTA NYCT_B43,1,B43,MTA_901735,MTA_305287,-73.945007324,40.669166565,approaching,96,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.009,ca2d2a69-5a18-40a5-8960-7ad5f45d0069,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_500054,MTA NYCT_8764,normalProgress,,,,2025-08-07T18:13:12.836-04:00,2025-08-07T18:11:18.402-04:00,,1,2025-08-07,SPRINGFIELD BLVD/90 AV,MTA_Q270288,MTA NYCT_QV_C5-Weekday-SDon-107300_Q27_415,,,,,,136.013977051,MTA NYCT,RUSH FLUSHING,MTA NYCT_QV_C5-Weekday-SDon_E_QV_54900_Q27-415,MTA NYCT_Q27,0,Q27,MTA_982498,MTA_502839,-73.741249084,40.726577759,approaching,67,0,,true,80,8,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.009,5599ca75-75a1-4f4e-9532-373d1b029210,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_401779,MTA NYCT_6102,normalProgress,2025-08-07T18:11:46.905-04:00,2025-08-07T18:11:46.905-04:00,,2025-08-07T18:09:57.833-04:00,2025-08-07T18:11:31.000-04:00,,1,2025-08-07,2 AV/E 23 ST,MTA_SBS150186,MTA NYCT_OF_C5-Weekday-SDon-104600_SBS15_445,,,,,,235.274383545,MTA NYCT,SELECT BUS SERVICE SOUTH FERRY via 2 AV,MTA NYCT_OF_C5-Weekday-SDon_E_OF_16440_SBS15-402,MTA NYCT_M15+,1,M15-SBS,MTA_803120,MTA_401732,-73.980957031,40.737758636,approaching,33,0,,true,80,61,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.008,d0fd285e-d8df-4d92-8142-14893eff45a1,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_500664,MTA NYCT_8767,normalProgress,2025-08-07T18:11:50.452-04:00,2025-08-07T18:11:50.452-04:00,,2025-08-07T18:09:54.829-04:00,2025-08-07T18:11:45.053-04:00,,1,2025-08-07,243 ST/MEMPHIS AV,MTA_Q860046,MTA NYCT_JA_C5-Weekday-SDon-104800_MISC_825,,,,,,232.305755615,MTA NYCT,RUSH ROSEDALE 149 AV via MERRICK BL,MTA NYCT_JA_C5-Weekday-SDon_E_JA_55020_MISC-825,MTA NYCT_Q86,1,Q86,MTA_904035,MTA_701017,-73.736595154,40.6639328,at stop,12,0,,true,80,20,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.008,c88e9d9f-b640-4d5e-88d0-690a10d8a958,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_300163,MTA NYCT_457,noProgress,2025-08-07T18:12:27.923-04:00,2025-08-07T18:12:27.923-04:00,2025-08-07T18:25:00.000-04:00,2025-08-07T18:26:55.825-04:00,2025-08-07T18:11:31.000-04:00,,1,2025-08-07,FLATBUSH AV/AVENUE T,MTA_B90063,MTA NYCT_JG_C5-Weekday-SDon-110500_B9_227,,,,,,138.098648071,MTA NYCT,BAY RIDGE SHRE RD via AVENUE M via 60 ST,MTA NYCT_JG_C5-Weekday-SDon_E_JG_19260_B9-205,MTA NYCT_B9,1,B9,MTA_901297,MTA_300969,-73.92111969,40.608722687,< 1 stop away,394,0,layover,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.008,2e1160ea-aed4-45df-8a30-43ca34013b1d,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_503565,MTA NYCT_7435,normalProgress,,,,2025-08-07T18:14:59.820-04:00,2025-08-07T18:11:19.000-04:00,,1,2025-08-07,PARSONS BLVD/22 AV,MTA_Q200290,MTA NYCT_CS_C5-Weekday-SDon-108100_Q20_277,,,,,,246.929580688,MTA NYCT,JAMAICA MERRICK BLVD,MTA NYCT_CS_C5-Weekday-SDon_E_CS_22380_Q20-265,MTA NYCT_Q20,1,Q20,MTA_504529,MTA_505022,-73.823402405,40.779346466,approaching,69,0,,true,80,4,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.008,ba914623-1fb1-4420-a0ed-a987fbcfb4df,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_402839,MTA NYCT_6101,normalProgress,2025-08-07T18:12:33.205-04:00,2025-08-07T18:12:33.205-04:00,,2025-08-07T18:14:41.803-04:00,2025-08-07T18:11:18.000-04:00,,1,2025-08-07,LEXINGTON AV/E 53 ST,MTA_M1020032,MTA NYCT_OH_C5-Weekday-SDon-103000_M101_138,MTA NYCT_lmm:planned_work:21837,,,,,233.864624023,MTA NYCT,EAST VILLAGE 6 ST via LEX AV,MTA NYCT_OH_C5-Weekday-SDon_E_OH_20400_M101-37,MTA NYCT_M102,1,M102,MTA_404092,MTA_400087,-73.970153809,40.759525299,< 1 stop away,190,0,,true,80,7,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.008,662f42c8-5e9c-4965-ada0-7dfde0ff6bce,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
